t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.225302,0.100923,9.428336,-0.003099,-0.001214,-0.215249,-0.215333,10.006601,9.993401,0.050000,0.050000,0.010000,0.010000,-0.000143,-0.000056,0.499613,0.499848,0.501548,0.501451,0.501275,0.001768,2.698468,-0.054193,0.919867,-0.002341,-0.001973,-0.215284,-0.215300,10.001288,9.998712,0.050000,0.050000,0.020000,0.020000,0.000035,-0.000035,0.499707,0.499753,0.499169,0.499596,0.499562,0.000345
1.140000,-0.038540,1.237139,0.034475,-2.851543,-0.004962,-0.003648,-0.214266,-0.214505,10.004604,9.995397,0.050000,0.050000,0.010000,0.010000,-0.000264,-0.000134,0.499380,0.499544,0.500529,0.500862,0.500739,0.001231,2.691968,-0.006461,-3.027416,-0.003884,-0.004727,-0.214392,-0.214384,9.997050,10.002950,0.050000,0.050000,0.020000,0.020000,0.000085,-0.000085,0.499515,0.499409,0.499901,0.500290,0.500369,-0.000791
1.150000,-0.029450,1.247331,0.019836,27.161732,-0.009814,-0.003073,-0.212915,-0.213592,10.023619,9.976399,0.050000,0.050000,0.010000,0.010000,-0.000539,-0.000056,0.498773,0.499616,0.500304,0.501148,0.500516,0.006320,2.689648,0.002456,-11.047098,-0.003813,-0.009074,-0.213430,-0.213090,9.981595,10.018416,0.050000,0.050000,0.020000,0.020000,0.000365,-0.000364,0.499523,0.498866,0.500038,0.500386,0.500879,-0.004932
1.160000,-0.019895,1.258861,-0.010490,38.591925,-0.015793,-0.001345,-0.210872,-0.212790,10.050633,9.949437,0.050000,0.050000,0.010000,0.010000,-0.001100,0.000305,0.498026,0.499832,0.499839,0.501360,0.500005,0.013545,2.687453,-0.000548,-17.506767,-0.002442,-0.014697,-0.212543,-0.211173,9.957126,10.042924,0.050000,0.050000,0.020000,0.020000,0.000990,-0.000989,0.499695,0.498163,0.499992,0.500223,0.501372,-0.011490
1.170000,-0.010027,1.269342,-0.020504,47.950039,-0.022683,0.001325,-0.207875,-0.212181,10.084169,9.915985,0.050000,0.050000,0.010000,0.010000,-0.002055,0.001055,0.497165,0.500166,0.499686,0.501891,0.499640,0.022507,2.680581,-0.005221,-24.206070,0.000278,-0.021637,-0.211845,-0.208343,9.923339,10.076785,0.050000,0.050000,0.020000,0.020000,0.002073,-0.002069,0.500035,0.497295,0.499920,0.499914,0.501968,-0.020545
1.180000,0.000000,1.280099,-0.021291,53.694847,-0.030111,0.004575,-0.203712,-0.211790,10.121639,9.878596,0.050000,0.050000,0.010000,0.010000,-0.003502,0.002286,0.496236,0.500572,0.499673,0.502578,0.499326,0.032518,2.673807,0.009751,-30.890900,0.004340,-0.029879,-0.211410,-0.204285,9.880308,10.119907,0.050000,0.050000,0.020000,0.020000,0.003709,-0.003701,0.500542,0.496265,0.500150,0.499705,0.502913,-0.032080
1.190000,0.010027,1.291535,0.022268,70.249046,-0.039147,0.009483,-0.198167,-0.211629,10.170446,9.829809,0.050000,0.050000,0.010000,0.010000,-0.005597,0.004143,0.495107,0.501185,0.500341,0.503926,0.499367,0.045588,2.668887,0.021768,-37.735668,0.009774,-0.039443,-0.211250,-0.198727,9.827896,10.172345,0.050000,0.050000,0.020000,0.020000,0.006051,-0.006037,0.501222,0.495070,0.500334,0.499334,0.503948,-0.046139
1.200000,0.019895,1.303232,-0.016022,79.786812,-0.049073,0.015345,-0.191087,-0.211656,10.225445,9.774610,0.050000,0.050000,0.010000,0.010000,-0.008462,0.006741,0.493866,0.501918,0.499754,0.504416,0.498377,0.060389,2.664643,0.023270,-43.319962,0.016325,-0.050060,-0.211293,-0.191531,9.767980,10.232045,0.050000,0.050000,0.020000,0.020000,0.009205,-0.009187,0.502041,0.493743,0.500357,0.498737,0.504960,-0.062232
1.210000,0.029450,1.314993,-0.021100,84.697899,-0.059412,0.021698,-0.182525,-0.211767,10.283091,9.716306,0.050000,0.050000,0.010000,0.010000,-0.012185,0.010164,0.492574,0.502712,0.499676,0.505327,0.497723,0.076034,2.661296,0.018930,-47.433796,0.023699,-0.061419,-0.211410,-0.182734,9.702753,10.296511,0.050000,0.050000,0.020000,0.020000,0.013238,-0.013220,0.502962,0.492323,0.500290,0.497996,0.505975,-0.079790
1.220000,0.038540,1.328227,0.001168,91.924438,-0.070381,0.028772,-0.172617,-0.211857,10.344455,9.653429,0.050000,0.050000,0.010000,0.010000,-0.016840,0.014485,0.491203,0.503596,0.500018,0.506611,0.497316,0.092945,2.657590,0.006151,-50.788666,0.031742,-0.073354,-0.211478,-0.172483,9.633435,10.364063,0.050000,0.050000,0.020000,0.020000,0.018210,-0.018201,0.503968,0.490832,0.500094,0.497095,0.506946,-0.098514
