t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.224896,0.109172,-0.075104,-0.002082,-0.002232,-0.215295,-0.215289,9.999474,10.000526,0.050000,0.050000,0.100000,0.100000,-0.000096,-0.000103,0.499740,0.499721,0.501674,0.501451,0.501465,-0.000141,2.698861,-0.051761,0.028861,-0.002185,-0.002128,-0.215291,-0.215293,10.000202,9.999798,0.050000,0.050000,0.100000,0.100000,-0.000005,0.000005,0.499727,0.499734,0.499206,0.499610,0.499604,0.000054
1.140000,-0.038540,1.237066,0.035143,-0.062934,-0.004167,-0.004443,-0.214401,-0.214374,9.999034,10.000966,0.050000,0.050000,0.100000,0.100000,-0.000188,-0.000210,0.499479,0.499445,0.500539,0.500795,0.500821,-0.000259,2.691851,-0.009036,0.021851,-0.004356,-0.004255,-0.214383,-0.214393,10.000355,9.999645,0.050000,0.050000,0.100000,0.100000,-0.000014,0.000014,0.499456,0.499468,0.499861,0.500304,0.500295,0.000095
1.150000,-0.029450,1.247167,0.038600,-0.052833,-0.006253,-0.006634,-0.213298,-0.213235,9.998664,10.001336,0.050000,0.050000,0.100000,0.100000,-0.000275,-0.000320,0.499218,0.499171,0.500592,0.501030,0.501066,-0.000357,2.689515,0.006485,0.019515,-0.006514,-0.006374,-0.213255,-0.213278,10.000492,9.999508,0.050000,0.050000,0.100000,0.100000,-0.000026,0.000026,0.499186,0.499203,0.500099,0.500685,0.500672,0.000131
1.160000,-0.019895,1.261607,0.041080,-0.038393,-0.008341,-0.008798,-0.211966,-0.211854,9.998396,10.001605,0.050000,0.050000,0.100000,0.100000,-0.000360,-0.000432,0.498957,0.498900,0.500630,0.501254,0.501297,-0.000428,2.687927,0.002766,0.017927,-0.008658,-0.008482,-0.211889,-0.211931,10.000617,9.999383,0.050000,0.050000,0.100000,0.100000,-0.000040,0.000040,0.498918,0.498940,0.500042,0.500843,0.500827,0.000165
1.170000,-0.010027,1.269808,0.016880,-0.030192,-0.010423,-0.010939,-0.210388,-0.210214,9.998184,10.001816,0.050000,0.050000,0.100000,0.100000,-0.000443,-0.000547,0.498697,0.498633,0.500259,0.501171,0.501220,-0.000484,2.681263,-0.005317,0.011263,-0.010780,-0.010582,-0.210269,-0.210334,10.000696,9.999304,0.050000,0.050000,0.100000,0.100000,-0.000057,0.000057,0.498653,0.498677,0.499918,0.500949,0.500931,0.000185
1.180000,0.000000,1.280020,0.014353,-0.019979,-0.012498,-0.013052,-0.208547,-0.208303,9.998045,10.001955,0.050000,0.050000,0.100000,0.100000,-0.000524,-0.000664,0.498438,0.498369,0.500220,0.501337,0.501389,-0.000519,2.674505,0.014377,0.004505,-0.012878,-0.012672,-0.208380,-0.208472,10.000727,9.999273,0.050000,0.050000,0.100000,0.100000,-0.000075,0.000075,0.498390,0.498416,0.500220,0.501373,0.501353,0.000193
1.190000,0.010027,1.291616,0.030041,-0.008384,-0.014565,-0.015132,-0.206433,-0.206110,9.997986,10.002014,0.050000,0.050000,0.100000,0.100000,-0.000606,-0.000783,0.498179,0.498108,0.500461,0.501711,0.501764,-0.000532,2.669765,0.030398,-0.000235,-0.014951,-0.014746,-0.206212,-0.206332,10.000726,9.999274,0.050000,0.050000,0.100000,0.100000,-0.000094,0.000094,0.498131,0.498157,0.500466,0.501751,0.501732,0.000192
1.200000,0.019895,1.303752,0.015640,0.003752,-0.016621,-0.017178,-0.204034,-0.203630,9.998012,10.001988,0.050000,0.050000,0.100000,0.100000,-0.000688,-0.000903,0.497922,0.497853,0.500240,0.501738,0.501790,-0.000522,2.667439,0.039816,-0.002561,-0.016998,-0.016800,-0.203757,-0.203907,10.000708,9.999292,0.050000,0.050000,0.100000,0.100000,-0.000112,0.000112,0.497875,0.497900,0.500611,0.502052,0.502033,0.000186
1.210000,0.029450,1.315449,-0.031710,0.015449,-0.018664,-0.019185,-0.201343,-0.200859,9.998120,10.001880,0.050000,0.050000,0.100000,0.100000,-0.000773,-0.001023,0.497667,0.497602,0.499514,0.501385,0.501434,-0.000489,2.664114,0.036001,-0.005887,-0.019017,-0.018832,-0.201012,-0.201191,10.000667,9.999333,0.050000,0.050000,0.100000,0.100000,-0.000130,0.000130,0.497623,0.497646,0.500552,0.502197,0.502180,0.000173
1.220000,0.038540,1.323485,-0.054789,0.023485,-0.020686,-0.021155,-0.198358,-0.197799,9.998284,10.001716,0.050000,0.050000,0.100000,0.100000,-0.000861,-0.001145,0.497414,0.497356,0.499160,0.501309,0.501353,-0.000440,2.655338,0.040245,-0.014662,-0.020997,-0.020844,-0.197977,-0.198181,10.000565,9.999436,0.050000,0.050000,0.100000,0.100000,-0.000146,0.000146,0.497375,0.497395,0.500617,0.502431,0.502417,0.000144
