t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.226587,0.196648,-7.005975,0.001345,-0.005647,-0.215788,-0.211339,99.922474,100.077548,0.005000,0.005000,0.050000,0.050000,0.000062,-0.000266,0.500168,0.499294,0.503016,0.502136,0.502791,-0.003277,2.720802,-0.069237,4.560113,-0.003518,-0.000788,-0.213103,-0.215011,100.030284,99.969720,0.005000,0.005000,0.030000,0.030000,-0.000226,0.000229,0.499560,0.499902,0.498938,0.499533,0.499278,0.001280
1.140000,-0.038540,1.244687,0.021982,-5.648509,0.002011,-0.010528,-0.215889,-0.199195,99.859992,100.140049,0.005000,0.005000,0.050000,0.050000,0.000318,-0.000752,0.500251,0.498684,0.500337,0.500064,0.501240,-0.005878,2.710809,-0.014758,3.810650,-0.006754,-0.001785,-0.204786,-0.212945,100.055587,99.944420,0.005000,0.005000,0.030000,0.030000,-0.000645,0.000669,0.499156,0.499777,0.499774,0.500463,0.499998,0.002329
1.150000,-0.029450,1.256547,0.041914,-4.758999,0.002231,-0.014821,-0.216011,-0.182897,99.807366,100.192647,0.005000,0.005000,0.050000,0.050000,0.000746,-0.001465,0.500279,0.498147,0.500643,0.500273,0.501872,-0.007993,2.708290,0.011158,3.621733,-0.009830,-0.002812,-0.192530,-0.209338,100.079625,99.920378,0.005000,0.005000,0.030000,0.030000,-0.001248,0.001333,0.498771,0.499649,0.500171,0.501050,0.500392,0.003290
1.160000,-0.019895,1.268399,0.044918,-3.870043,0.002005,-0.018491,-0.216132,-0.163737,99.764580,100.235327,0.005000,0.005000,0.050000,0.050000,0.001338,-0.002434,0.500251,0.497689,0.500689,0.500329,0.502250,-0.009607,2.702742,0.006604,3.205615,-0.012645,-0.003918,-0.177706,-0.203959,100.100882,99.899103,0.005000,0.005000,0.030000,0.030000,-0.002034,0.002246,0.498419,0.499510,0.500101,0.501261,0.500443,0.004091
1.170000,-0.010027,1.277755,0.024486,-3.168359,0.001427,-0.021608,-0.216234,-0.142382,99.729558,100.270137,0.005000,0.005000,0.050000,0.050000,0.002096,-0.003714,0.500178,0.497299,0.500375,0.500148,0.502307,-0.010797,2.696907,0.018716,2.768004,-0.015170,-0.005093,-0.161006,-0.196761,100.119212,99.880736,0.005000,0.005000,0.030000,0.030000,-0.003013,0.003462,0.498104,0.499363,0.500287,0.501637,0.500693,0.004724
1.180000,0.000000,1.289805,0.001144,-2.264634,0.000397,-0.024050,-0.216139,-0.119416,99.704529,100.294859,0.005000,0.005000,0.050000,0.050000,0.003027,-0.005389,0.500050,0.496994,0.500018,0.499976,0.502268,-0.011459,2.692634,0.033450,2.447569,-0.017425,-0.006283,-0.142829,-0.187921,100.135382,99.864500,0.005000,0.005000,0.030000,0.030000,-0.004206,0.005065,0.497822,0.499215,0.500513,0.502018,0.500974,0.005223
1.190000,0.010027,1.305826,0.023556,-1.063022,-0.001229,-0.025657,-0.215089,-0.095510,99.692782,100.306334,0.005000,0.005000,0.050000,0.050000,0.004146,-0.007596,0.499846,0.496793,0.500361,0.500386,0.502676,-0.011450,2.690668,0.041509,2.300066,-0.019447,-0.007422,-0.123457,-0.177754,100.150521,99.849247,0.005000,0.005000,0.030000,0.030000,-0.005657,0.007195,0.497569,0.499072,0.500637,0.502301,0.501173,0.005636
1.200000,0.019895,1.311390,-0.060511,-0.645724,-0.003042,-0.026813,-0.211717,-0.071217,99.685646,100.313154,0.005000,0.005000,0.050000,0.050000,0.005512,-0.010639,0.499620,0.496648,0.499072,0.499589,0.501818,-0.011142,2.678748,0.035572,1.406103,-0.021003,-0.008723,-0.103224,-0.166453,100.159719,99.839927,0.005000,0.005000,0.030000,0.030000,-0.007445,0.010141,0.497375,0.498910,0.500546,0.502378,0.501227,0.005756
1.210000,0.029450,1.319237,-0.010991,-0.057212,-0.005101,-0.027433,-0.205120,-0.046953,99.685014,100.313729,0.005000,0.005000,0.050000,0.050000,0.007199,-0.015110,0.499362,0.496571,0.499831,0.500352,0.502445,-0.010468,2.665487,0.080681,0.411522,-0.022055,-0.010203,-0.082553,-0.154058,100.162382,99.837201,0.005000,0.005000,0.030000,0.030000,-0.009702,0.014493,0.497243,0.498725,0.501237,0.502996,0.501884,0.005556
1.220000,0.038540,1.322919,0.017905,0.218949,-0.007215,-0.027673,-0.195469,-0.023091,99.687432,100.311850,0.005000,0.005000,0.050000,0.050000,0.009341,-0.022218,0.499098,0.496541,0.500275,0.500882,0.502800,-0.009589,2.654608,0.131917,-0.404370,-0.022656,-0.011798,-0.061851,-0.140605,100.159818,99.839877,0.005000,0.005000,0.030000,0.030000,-0.012686,0.021481,0.497168,0.498525,0.502023,0.503641,0.502623,0.005089
