t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.160563,-0.013471,-66.978317,0.004526,-0.008815,-0.220910,-0.204509,299.743275,300.256777,0.050000,0.050000,0.010000,0.010000,0.000204,-0.000429,0.500566,0.498898,0.499793,0.499421,0.500672,-0.006254,2.513363,0.040770,42.662174,-0.010644,0.006354,-0.202238,-0.223131,300.327084,299.672996,0.050000,0.050000,0.020000,0.020000,-0.000726,0.000711,0.498670,0.500794,0.500625,0.501467,0.499873,0.007967
0.690000,0.010027,1.157926,-0.044394,-8.785580,0.003152,-0.011613,-0.229638,-0.178646,299.709610,300.290428,0.050000,0.050000,0.010000,0.010000,0.000861,-0.001352,0.500394,0.498548,0.499319,0.499194,0.500578,-0.006921,2.515764,0.021219,5.498037,-0.013619,0.005158,-0.171590,-0.236493,300.369177,299.630874,0.050000,0.050000,0.020000,0.020000,-0.001643,0.001566,0.498298,0.500645,0.500325,0.501521,0.499761,0.008801
0.700000,0.019895,1.164306,0.051165,0.311597,0.000803,-0.013213,-0.233810,-0.147409,299.710804,300.289236,0.050000,0.050000,0.010000,0.010000,0.001674,-0.002443,0.500100,0.498348,0.500785,0.500513,0.501827,-0.006570,2.513404,-0.015831,0.812162,-0.015322,0.002910,-0.135244,-0.245642,300.375380,299.624651,0.050000,0.050000,0.020000,0.020000,-0.002780,0.002556,0.498085,0.500364,0.499757,0.501254,0.499545,0.008546
0.710000,0.029450,1.174582,0.000644,21.594944,-0.003678,-0.012363,-0.229609,-0.115387,299.793564,300.206802,0.050000,0.050000,0.010000,0.010000,0.002619,-0.003596,0.499540,0.498455,0.500010,0.500352,0.501166,-0.004071,2.509562,-0.011849,-7.203310,-0.015048,-0.000999,-0.097312,-0.247270,300.320592,299.679854,0.050000,0.050000,0.020000,0.020000,-0.004116,0.003551,0.498119,0.499875,0.499818,0.501274,0.499957,0.006586
0.720000,0.038540,1.186391,0.035429,37.421669,-0.009639,-0.009631,-0.212521,-0.087959,299.936938,300.064139,0.050000,0.050000,0.010000,0.010000,0.003666,-0.004603,0.498795,0.498796,0.500543,0.501311,0.501310,0.000004,2.506860,-0.000668,-17.871408,-0.012278,-0.007001,-0.063358,-0.236714,300.185510,299.816814,0.050000,0.050000,0.020000,0.020000,-0.005524,0.004306,0.498465,0.499125,0.499990,0.501143,0.500649,0.002474
0.730000,0.047023,1.192420,0.035572,59.873924,-0.017592,-0.004423,-0.178133,-0.070446,300.165929,299.835529,0.050000,0.050000,0.010000,0.010000,0.004554,-0.004887,0.497801,0.499447,0.500546,0.502058,0.500824,0.006173,2.504602,-0.005960,-30.135277,-0.006764,-0.015269,-0.039787,-0.208435,299.958411,300.047560,0.050000,0.050000,0.020000,0.020000,-0.006165,0.004159,0.499155,0.498091,0.499909,0.500566,0.501363,-0.003987
0.740000,0.054764,1.200248,0.044632,71.903416,-0.026303,0.002092,-0.123037,-0.067390,300.438643,299.560126,0.050000,0.050000,0.010000,0.010000,0.004089,-0.003804,0.496712,0.500262,0.500684,0.502979,0.500317,0.013310,2.502388,-0.006247,-37.610245,0.000411,-0.024644,-0.031890,-0.158133,299.671651,300.334247,0.050000,0.050000,0.020000,0.020000,-0.003899,0.002282,0.500051,0.496920,0.499904,0.499890,0.502239,-0.011744
0.750000,0.061641,1.207553,0.038433,81.834885,-0.035349,0.009548,-0.046242,-0.081401,300.728799,299.247742,0.050000,0.050000,0.010000,0.010000,-0.002094,-0.001100,0.495582,0.501194,0.500589,0.503756,0.499547,0.021045,2.500328,-0.007534,-44.174221,0.008895,-0.034719,-0.043170,-0.083820,299.336378,300.662044,0.050000,0.050000,0.020000,0.020000,0.003653,-0.002594,0.501112,0.495660,0.499884,0.499079,0.503168,-0.020443
0.760000,0.067546,1.213617,0.032210,91.591599,-0.044497,0.017748,0.051987,-0.114308,300.729104,298.900581,0.050000,0.050000,0.010000,0.010000,-0.006969,0.004086,0.494438,0.502218,0.500494,0.504542,0.498707,0.029175,2.498011,-0.011015,-49.624115,0.018255,-0.045043,-0.076095,0.014890,298.966468,300.874039,0.050000,0.050000,0.020000,0.020000,0.008257,-0.011526,0.502282,0.494370,0.499831,0.498162,0.504096,-0.029669
0.770000,0.072386,1.219140,0.017023,98.353561,-0.053239,0.026198,0.170106,-0.166908,300.391906,298.528933,0.050000,0.050000,0.010000,0.010000,-0.007721,0.013018,0.493346,0.503275,0.500261,0.505186,0.497740,0.037233,2.495313,-0.014448,-54.227417,0.028093,-0.055180,-0.131876,0.136786,298.561980,300.559342,0.050000,0.050000,0.020000,0.020000,0.009277,-0.013908,0.503512,0.493103,0.499778,0.497200,0.505006,-0.039031
