t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.160756,-0.030804,-68.686172,0.004714,-0.009021,-0.215557,-0.214949,9.951981,10.048124,0.050000,0.050000,0.010000,0.010000,0.000218,-0.000417,0.500589,0.498872,0.499528,0.499204,0.500491,-0.006438,2.514253,-0.008512,44.774452,-0.011107,0.006800,-0.214829,-0.215622,10.062755,9.937424,0.050000,0.050000,0.020000,0.020000,-0.000731,0.000730,0.498612,0.500850,0.499869,0.500943,0.499265,0.008394
0.690000,0.010027,1.155509,0.018024,-8.799252,0.003443,-0.012039,-0.215232,-0.213206,9.945839,10.054292,0.050000,0.050000,0.010000,0.010000,0.000888,-0.001287,0.500430,0.498495,0.500276,0.499884,0.501336,-0.007257,2.512311,0.021195,4.305135,-0.014104,0.005510,-0.212807,-0.215413,10.068791,9.931419,0.050000,0.050000,0.020000,0.020000,-0.001540,0.001538,0.498237,0.500689,0.500325,0.501566,0.499727,0.009194
0.700000,0.019895,1.162724,0.071621,-3.373522,0.001634,-0.014495,-0.214807,-0.211100,9.943484,10.056655,0.050000,0.050000,0.010000,0.010000,0.001613,-0.002209,0.500204,0.498188,0.501098,0.500671,0.502183,-0.007560,2.511423,0.021267,0.275584,-0.016272,0.003415,-0.210424,-0.215110,10.069177,9.931035,0.050000,0.050000,0.020000,0.020000,-0.002368,0.002362,0.497966,0.500427,0.500326,0.501770,0.499924,0.009229
0.710000,0.029450,1.174736,0.014782,22.277370,-0.002736,-0.014364,-0.214145,-0.208840,9.959040,10.041060,0.050000,0.050000,0.010000,0.010000,0.002237,-0.003028,0.499658,0.498205,0.500227,0.500427,0.501517,-0.005450,2.510814,0.010777,-8.162062,-0.016729,-0.000363,-0.207859,-0.214612,10.057750,9.942425,0.050000,0.050000,0.020000,0.020000,-0.003016,0.003004,0.497909,0.499955,0.500165,0.501692,0.500158,0.007671
0.720000,0.038540,1.185644,-0.009680,39.681448,-0.008837,-0.012470,-0.212975,-0.206737,9.986768,10.013303,0.050000,0.050000,0.010000,0.010000,0.002601,-0.003580,0.498895,0.498441,0.499852,0.500717,0.501058,-0.001703,2.509501,-0.004148,-18.588619,-0.015074,-0.006219,-0.205401,-0.213699,10.031744,9.968387,0.050000,0.050000,0.020000,0.020000,-0.003302,0.003284,0.498116,0.499223,0.499936,0.501365,0.500535,0.004151
0.730000,0.047023,1.193613,0.016332,58.041306,-0.016758,-0.008721,-0.210931,-0.205024,10.027335,9.972742,0.050000,0.050000,0.010000,0.010000,0.002515,-0.003678,0.497905,0.498910,0.500250,0.501759,0.501005,0.003767,2.506666,-0.017262,-29.540510,-0.011207,-0.014254,-0.203353,-0.211995,9.990451,10.009671,0.050000,0.050000,0.020000,0.020000,-0.003028,0.003007,0.498599,0.498218,0.499735,0.500852,0.501138,-0.001428
0.740000,0.054764,1.201154,0.034761,72.528061,-0.026102,-0.003509,-0.207580,-0.203852,10.077969,9.922130,0.050000,0.050000,0.010000,0.010000,0.001794,-0.003145,0.496737,0.499561,0.500533,0.502847,0.500729,0.010590,2.503422,-0.012350,-37.382645,-0.005753,-0.023834,-0.201915,-0.209021,9.938255,10.061882,0.050000,0.050000,0.020000,0.020000,-0.002038,0.002020,0.499281,0.497021,0.499811,0.500397,0.502092,-0.008475
0.750000,0.061641,1.208006,0.037813,85.438995,-0.036695,0.003003,-0.202556,-0.203241,10.137397,9.862648,0.050000,0.050000,0.010000,0.010000,0.000282,-0.001840,0.495413,0.500375,0.500580,0.503875,0.500153,0.018607,2.500869,-0.007772,-45.450005,0.001325,-0.034990,-0.201139,-0.204328,9.874931,10.125163,0.050000,0.050000,0.020000,0.020000,-0.000180,0.000176,0.500166,0.495626,0.499881,0.499786,0.503191,-0.017022
0.760000,0.067546,1.214146,0.029469,94.181305,-0.048102,0.010393,-0.195697,-0.203085,10.202414,9.797323,0.050000,0.050000,0.010000,0.010000,-0.002159,0.000356,0.493987,0.501299,0.500452,0.504848,0.499365,0.027418,2.498906,-0.006485,-51.046463,0.009528,-0.047208,-0.200921,-0.197664,9.804072,10.195727,0.050000,0.050000,0.020000,0.020000,0.002652,-0.002629,0.501191,0.494099,0.499901,0.499032,0.504351,-0.026593
0.770000,0.072386,1.219210,0.024796,102.256760,-0.060240,0.018590,-0.187061,-0.203192,10.272086,9.726785,0.050000,0.050000,0.010000,0.010000,-0.005636,0.003537,0.492471,0.502324,0.500380,0.505932,0.498542,0.036948,2.497089,-0.011015,-57.083221,0.018938,-0.060558,-0.201031,-0.189033,9.725306,10.273590,0.050000,0.050000,0.020000,0.020000,0.006554,-0.006493,0.502367,0.492431,0.499831,0.498098,0.505550,-0.037261
