t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.165257,0.005722,-59.599449,0.003803,-0.008116,-0.215527,-0.214998,9.958326,10.041753,0.050000,0.050000,0.010000,0.010000,0.000176,-0.000375,0.500475,0.498986,0.500088,0.499709,0.500827,-0.005587,2.515440,0.021267,40.468948,-0.010250,0.005937,-0.214879,-0.215596,10.056715,9.943431,0.050000,0.050000,0.020000,0.020000,-0.000649,0.000649,0.498719,0.500742,0.500326,0.501206,0.499688,0.007588
0.690000,0.010027,1.161158,-0.048828,-8.676727,0.002517,-0.011125,-0.215143,-0.213374,9.952267,10.047834,0.050000,0.050000,0.010000,0.010000,0.000764,-0.001163,0.500315,0.498609,0.499251,0.499202,0.500481,-0.006395,2.516999,0.020194,8.765690,-0.014146,0.005536,-0.212912,-0.215366,10.069006,9.931202,0.050000,0.050000,0.020000,0.020000,-0.001419,0.001416,0.498232,0.500692,0.500310,0.501558,0.499713,0.009226
0.700000,0.019895,1.166234,-0.014877,2.940965,0.000074,-0.012956,-0.214629,-0.211438,9.954320,10.045774,0.050000,0.050000,0.010000,0.010000,0.001420,-0.002015,0.500009,0.498381,0.499772,0.499822,0.501043,-0.006107,2.515207,-0.006509,1.933665,-0.016653,0.003772,-0.210496,-0.215075,10.071715,9.928505,0.050000,0.050000,0.020000,0.020000,-0.002193,0.002184,0.497918,0.500471,0.499900,0.501486,0.499572,0.009574
0.710000,0.029450,1.177380,-0.009441,17.194428,-0.003788,-0.013340,-0.213854,-0.209359,9.966332,10.033738,0.050000,0.050000,0.010000,0.010000,0.002014,-0.002802,0.499526,0.498332,0.499855,0.500247,0.501142,-0.004477,2.512236,-0.002885,-5.120133,-0.017725,0.000600,-0.207826,-0.214624,10.064547,9.935648,0.050000,0.050000,0.020000,0.020000,-0.002841,0.002823,0.497784,0.500075,0.499956,0.501629,0.499911,0.008590
0.720000,0.038540,1.187548,0.037098,35.134804,-0.009435,-0.011910,-0.212595,-0.207364,9.990888,10.009162,0.050000,0.050000,0.010000,0.010000,0.002400,-0.003372,0.498821,0.498511,0.500569,0.501311,0.501543,-0.001160,2.510174,-0.000429,-16.184761,-0.016557,-0.004781,-0.205181,-0.213825,10.041906,9.958245,0.050000,0.050000,0.020000,0.020000,-0.003172,0.003143,0.497930,0.499402,0.499993,0.501547,0.500443,0.005520
0.730000,0.047023,1.197658,0.038314,53.968643,-0.016948,-0.008578,-0.210499,-0.205695,10.028609,9.971449,0.050000,0.050000,0.010000,0.010000,0.002377,-0.003531,0.497882,0.498928,0.500588,0.502030,0.501245,0.003923,2.507968,-0.005460,-26.614483,-0.013277,-0.012237,-0.202883,-0.212339,10.004702,9.995430,0.050000,0.050000,0.020000,0.020000,-0.002992,0.002954,0.498340,0.498470,0.499916,0.501182,0.501084,0.000488
0.740000,0.054764,1.204036,0.028300,69.605804,-0.025998,-0.003668,-0.207144,-0.204519,10.077201,9.922877,0.050000,0.050000,0.010000,0.010000,0.001762,-0.003102,0.496750,0.499541,0.500434,0.502763,0.500669,0.010467,2.505534,-0.009942,-36.105686,-0.008078,-0.021574,-0.201174,-0.209697,9.954277,10.045865,0.050000,0.050000,0.020000,0.020000,-0.002120,0.002084,0.498990,0.497303,0.499848,0.500643,0.501908,-0.006326
0.750000,0.061641,1.210885,0.032830,80.988548,-0.036145,0.002389,-0.202182,-0.203876,10.133539,9.866486,0.050000,0.050000,0.010000,0.010000,0.000388,-0.001937,0.495482,0.500299,0.500503,0.503766,0.500154,0.018062,2.502960,-0.007987,-43.036362,-0.001478,-0.032265,-0.200153,-0.205430,9.894275,10.105834,0.050000,0.050000,0.020000,0.020000,-0.000420,0.000405,0.499815,0.495967,0.499878,0.500047,0.502933,-0.014431
0.760000,0.067546,1.217014,0.021911,90.108963,-0.047145,0.009362,-0.195458,-0.203677,10.195773,9.803961,0.050000,0.050000,0.010000,0.010000,-0.001878,0.000076,0.494107,0.501170,0.500336,0.504672,0.499374,0.026486,2.501002,-0.005865,-49.012291,0.006326,-0.044102,-0.199752,-0.199252,9.826148,10.173720,0.050000,0.050000,0.020000,0.020000,0.002222,-0.002194,0.500791,0.494488,0.499910,0.499340,0.504067,-0.023637
0.770000,0.072386,1.221884,0.021434,96.862427,-0.058745,0.017012,-0.187015,-0.203754,10.261849,9.737084,0.050000,0.050000,0.010000,0.010000,-0.005142,0.003027,0.492657,0.502126,0.500329,0.505753,0.498652,0.035508,2.499213,-0.009727,-53.662338,0.015063,-0.056800,-0.199772,-0.191130,9.751930,10.247204,0.050000,0.050000,0.020000,0.020000,0.005890,-0.005793,0.501883,0.492900,0.499851,0.498476,0.505213,-0.033683
0.780000,0.076085,1.225609,0.012231,101.073410,-0.070674,0.025081,-0.177036,-0.203921,10.329475,9.667766,0.050000,0.050000,0.010000,0.010000,-0.009471,0.006978,0.491167,0.503135,0.500188,0.506765,0.497789,0.044879,2.496956,-0.015330,-56.460499,0.024361,-0.069971,-0.199960,-0.181242,9.674410,10.323070,0.050000,0.050000,0.020000,0.020000,0.010621,-0.010435,0.503045,0.491254,0.499765,0.497540,0.506382,-0.044213
0.790000,0.078583,1.227970,0.006151,102.520081,-0.082641,0.033293,-0.165747,-0.204047,10.396143,9.598046,0.050000,0.050000,0.010000,0.010000,-0.014881,0.011953,0.489671,0.504162,0.500094,0.507817,0.496950,0.054335,2.494853,-0.017381,-57.211502,0.033810,-0.083190,-0.200129,-0.169855,9.596612,10.397773,0.050000,0.050000,0.020000,0.020000,0.016402,-0.016113,0.504226,0.489603,0.499733,0.496631,0.507597,-0.054834
0.800000,0.079842,1.228960,0.006509,104.366058,-0.094674,0.041689,-0.153344,-0.204088,10.461333,9.527785,0.050000,0.050000,0.010000,0.010000,-0.021341,0.017941,0.488168,0.505211,0.500100,0.508948,0.496167,0.063906,2.492228,-0.020194,-58.986618,0.043614,-0.096647,-0.200219,-0.157195,9.517356,10.471664,0.050000,0.050000,0.020000,0.020000,0.023202,-0.022806,0.505452,0.487922,0.499690,0.495679,0.508826,-0.065732
0.810000,0.079842,1.229383,-0.003791,96.559982,-0.105798,0.049304,-0.140019,-0.204079,10.518468,9.463500,0.050000,0.050000,0.010000,0.010000,-0.028764,0.024880,0.486778,0.506163,0.499942,0.509871,0.495335,0.072684,2.489888,-0.018787,-55.901600,0.052802,-0.109358,-0.200286,-0.143462,9.443277,10.537807,0.050000,0.050000,0.020000,0.020000,0.030895,-0.030396,0.506600,0.486334,0.499712,0.494834,0.510032,-0.075991
0.820000,0.078583,1.228021,-0.011706,90.824509,-0.116210,0.056345,-0.125951,-0.204091,10.568563,9.403722,0.050000,0.050000,0.010000,0.010000,-0.037013,0.032663,0.485478,0.507043,0.499820,0.510755,0.494584,0.080859,2.487612,-0.022364,-51.842567,0.061180,-0.121120,-0.200432,-0.128852,9.375563,10.594730,0.050000,0.050000,0.020000,0.020000,0.039344,-0.038752,0.507647,0.484865,0.499657,0.494008,0.511093,-0.085423
0.830000,0.076085,1.225171,-0.025034,76.586433,-0.125056,0.061963,-0.111318,-0.204181,10.607224,9.353857,0.050000,0.050000,0.010000,0.010000,-0.045917,0.041143,0.484373,0.507745,0.499616,0.511430,0.493904,0.087632,2.485429,-0.023818,-43.777946,0.067943,-0.131123,-0.200731,-0.113571,9.319159,10.638469,0.050000,0.050000,0.020000,0.020000,0.048371,-0.047702,0.508492,0.483615,0.499635,0.493357,0.512012,-0.093274
0.840000,0.072386,1.221558,-0.032926,63.384602,-0.132433,0.066259,-0.096311,-0.204370,10.635912,9.312959,0.050000,0.050000,0.010000,0.010000,-0.055301,0.050165,0.483452,0.508282,0.499495,0.512030,0.493411,0.093097,2.482470,-0.025678,-35.957458,0.073139,-0.139410,-0.201201,-0.097835,9.273363,10.670447,0.050000,0.050000,0.020000,0.020000,0.057821,-0.057093,0.509141,0.482581,0.499606,0.492849,0.512766,-0.099586
0.850000,0.067546,1.217423,-0.028419,48.996300,-0.138219,0.069113,-0.081106,-0.204645,10.655299,9.281564,0.050000,0.050000,0.010000,0.010000,-0.065009,0.059589,0.482729,0.508638,0.499564,0.512623,0.493195,0.097143,2.480337,-0.023055,-27.211216,0.076581,-0.145791,-0.201813,-0.081852,9.239006,10.691421,0.050000,0.050000,0.020000,0.020000,0.067556,-0.066787,0.509571,0.481784,0.499646,0.492557,0.513393,-0.104184
0.860000,0.061641,1.213927,-0.032520,32.116652,-0.142166,0.070277,-0.065886,-0.204970,10.666067,9.261071,0.050000,0.050000,0.010000,0.010000,-0.074909,0.069288,0.482237,0.508784,0.499501,0.512946,0.493039,0.099534,2.478627,-0.024819,-17.387365,0.078052,-0.150050,-0.202502,-0.065834,9.217165,10.702656,0.050000,0.050000,0.020000,0.020000,0.077460,-0.076668,0.509755,0.481253,0.499619,0.492399,0.513772,-0.106865
