t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
0.680000,0.000000,1.164462,0.010800,-58.025238,0.003648,-0.007955,-0.215521,-0.215007,9.959426,10.040650,0.050000,0.050000,0.010000,0.010000,0.000168,-0.000368,0.500456,0.499006,0.500166,0.499782,0.500870,-0.005439,2.515156,0.026917,40.081692,-0.010168,0.005862,-0.214884,-0.215594,10.056172,9.943971,0.050000,0.050000,0.020000,0.020000,-0.000638,0.000638,0.498729,0.500733,0.500413,0.501263,0.499760,0.007514
0.690000,0.010027,1.161364,-0.045443,-8.641956,0.002362,-0.010958,-0.215128,-0.213403,9.953390,10.046706,0.050000,0.050000,0.010000,0.010000,0.000746,-0.001144,0.500295,0.498630,0.499303,0.499256,0.500505,-0.006244,2.516422,0.020623,8.885879,-0.014082,0.005488,-0.212926,-0.215360,10.068631,9.931574,0.050000,0.050000,0.020000,0.020000,-0.001398,0.001395,0.498240,0.500686,0.500316,0.501557,0.499723,0.009173
0.700000,0.019895,1.166763,-0.023031,-4.996580,0.000716,-0.013579,-0.214632,-0.211435,9.949901,10.050206,0.050000,0.050000,0.010000,0.010000,0.001429,-0.002024,0.500090,0.498303,0.499647,0.499668,0.501008,-0.006701,2.514745,-0.005341,1.038090,-0.016404,0.003546,-0.210534,-0.215061,10.070086,9.930126,0.050000,0.050000,0.020000,0.020000,-0.002190,0.002182,0.497950,0.500443,0.499918,0.501476,0.499606,0.009352
0.710000,0.029450,1.177220,0.012708,19.014767,-0.003325,-0.013778,-0.213907,-0.209281,9.963182,10.036895,0.050000,0.050000,0.010000,0.010000,0.002033,-0.002821,0.499584,0.498278,0.500195,0.500458,0.501438,-0.004900,2.511919,-0.006199,-6.992883,-0.017095,0.000002,-0.207932,-0.214581,10.060295,9.939884,0.050000,0.050000,0.020000,0.020000,-0.002829,0.002815,0.497863,0.500000,0.499905,0.501531,0.499928,0.008014
0.720000,0.038540,1.187196,-0.002241,37.513332,-0.009206,-0.012106,-0.212685,-0.207243,9.989398,10.010655,0.050000,0.050000,0.010000,0.010000,0.002398,-0.003373,0.498849,0.498487,0.499966,0.500837,0.501109,-0.001359,2.509564,-0.003099,-17.100880,-0.015738,-0.005556,-0.205396,-0.213718,10.036371,9.963765,0.050000,0.050000,0.020000,0.020000,-0.003132,0.003108,0.498033,0.499305,0.499952,0.501440,0.500485,0.004773
0.730000,0.047023,1.195653,0.026083,56.175522,-0.016938,-0.008549,-0.210605,-0.205563,10.028661,9.971400,0.050000,0.050000,0.010000,0.010000,0.002337,-0.003495,0.497883,0.498931,0.500400,0.501888,0.501101,0.003932,2.507317,-0.006509,-27.768452,-0.012224,-0.013237,-0.203230,-0.212122,9.997554,10.002568,0.050000,0.050000,0.020000,0.020000,-0.002900,0.002871,0.498472,0.498345,0.499900,0.501071,0.501166,-0.000475
0.740000,0.054764,1.203574,0.039721,70.090771,-0.026034,-0.003586,-0.207247,-0.204394,10.077593,9.922489,0.050000,0.050000,0.010000,0.010000,0.001669,-0.003014,0.496746,0.499552,0.500609,0.502898,0.500793,0.010522,2.504890,-0.006747,-35.484268,-0.007148,-0.022439,-0.201646,-0.209337,9.948002,10.052132,0.050000,0.050000,0.020000,0.020000,-0.001981,0.001956,0.499107,0.497195,0.499897,0.500593,0.502026,-0.007168
0.750000,0.061641,1.210661,0.032926,82.211571,-0.036302,0.002597,-0.202267,-0.203763,10.134780,9.865250,0.050000,0.050000,0.010000,0.010000,0.000242,-0.001798,0.495462,0.500325,0.500505,0.503782,0.500135,0.018233,2.502576,-0.006390,-43.287090,-0.000499,-0.033166,-0.200720,-0.204921,9.887663,10.112435,0.050000,0.050000,0.020000,0.020000,-0.000228,0.000222,0.499938,0.495854,0.499902,0.499973,0.503036,-0.015312
0.760000,0.067546,1.216756,0.030279,92.137337,-0.047503,0.009778,-0.195498,-0.203580,10.198405,9.801326,0.050000,0.050000,0.010000,0.010000,-0.002086,0.000279,0.494062,0.501222,0.500464,0.504801,0.499432,0.026848,2.500546,-0.008416,-50.018196,0.007503,-0.045186,-0.200388,-0.198579,9.818170,10.181669,0.050000,0.050000,0.020000,0.020000,0.002484,-0.002451,0.500938,0.494352,0.499871,0.499200,0.504139,-0.024696
0.770000,0.072386,1.221645,0.018620,98.135391,-0.059227,0.017559,-0.186989,-0.203668,10.265322,9.733592,0.050000,0.050000,0.010000,0.010000,-0.005424,0.003310,0.492597,0.502195,0.500286,0.505766,0.498568,0.035990,2.498462,-0.010920,-53.909706,0.016284,-0.057911,-0.200443,-0.190295,9.743664,10.255399,0.050000,0.050000,0.020000,0.020000,0.006225,-0.006134,0.502036,0.492762,0.499833,0.498348,0.505303,-0.034776
0.780000,0.076085,1.225314,0.010538,101.825912,-0.071228,0.025707,-0.176939,-0.203837,10.333399,9.663792,0.050000,0.050000,0.010000,0.010000,-0.009829,0.007347,0.491097,0.503213,0.500162,0.506798,0.497711,0.045432,2.495999,-0.013494,-56.267342,0.025535,-0.071015,-0.200633,-0.180275,9.666486,10.330862,0.050000,0.050000,0.020000,0.020000,0.011025,-0.010860,0.503192,0.491124,0.499793,0.497451,0.506501,-0.045253
0.790000,0.078583,1.227647,0.009227,105.483376,-0.083487,0.034220,-0.165566,-0.203956,10.401896,9.592115,0.050000,0.050000,0.010000,0.010000,-0.015318,0.012416,0.489566,0.504277,0.500141,0.507931,0.496898,0.055165,2.493597,-0.014997,-57.332691,0.034998,-0.084226,-0.200785,-0.168782,9.588616,10.405516,0.050000,0.050000,0.020000,0.020000,0.016882,-0.016632,0.504375,0.489473,0.499770,0.496547,0.507722,-0.055877
