t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.225484,0.115514,0.115514,-0.002168,-0.002145,-0.215291,-0.215292,10.000081,9.999919,0.050000,0.050000,0.010000,0.010000,-0.000100,-0.000099,0.499729,0.499732,0.501771,0.501532,0.501530,0.000022,2.697522,-0.047231,-0.047231,-0.002147,-0.002166,-0.215292,-0.215292,9.999934,10.000066,0.050000,0.050000,0.020000,0.020000,0.000001,-0.000001,0.499732,0.499729,0.499276,0.499658,0.499660,-0.000018
1.140000,-0.038540,1.236908,0.034046,0.034046,-0.004320,-0.004290,-0.214386,-0.214390,10.000105,9.999895,0.050000,0.050000,0.010000,0.010000,-0.000200,-0.000197,0.499460,0.499464,0.500522,0.500797,0.500794,0.000028,2.691365,-0.006461,-0.006461,-0.004294,-0.004316,-0.214389,-0.214386,9.999925,10.000075,0.050000,0.050000,0.020000,0.020000,0.000002,-0.000002,0.499463,0.499461,0.499901,0.500328,0.500330,-0.000020
1.150000,-0.029450,1.246851,-0.008917,-0.008917,-0.006458,-0.006430,-0.213263,-0.213270,10.000098,9.999902,0.050000,0.050000,0.010000,0.010000,-0.000300,-0.000295,0.499193,0.499196,0.499863,0.500503,0.500500,0.000026,2.688743,0.000691,0.000691,-0.006433,-0.006454,-0.213269,-0.213264,9.999926,10.000074,0.050000,0.050000,0.020000,0.020000,0.000003,-0.000003,0.499196,0.499193,0.500011,0.500611,0.500613,-0.000020
1.160000,-0.019895,1.258119,0.042820,0.042820,-0.008588,-0.008551,-0.211905,-0.211916,10.000128,9.999872,0.050000,0.050000,0.010000,0.010000,-0.000400,-0.000392,0.498927,0.498931,0.500657,0.501298,0.501294,0.000034,2.686550,0.000954,0.000954,-0.008559,-0.008580,-0.211914,-0.211907,9.999927,10.000073,0.050000,0.050000,0.020000,0.020000,0.000005,-0.000005,0.498930,0.498927,0.500015,0.500813,0.500815,-0.000019
1.170000,-0.010027,1.269036,-0.027966,-0.027966,-0.010696,-0.010666,-0.210294,-0.210309,10.000109,9.999891,0.050000,0.050000,0.010000,0.010000,-0.000500,-0.000490,0.498663,0.498667,0.499571,0.500681,0.500678,0.000029,2.680045,-0.002789,-0.002789,-0.010670,-0.010692,-0.210306,-0.210296,9.999923,10.000077,0.050000,0.050000,0.020000,0.020000,0.000006,-0.000006,0.498666,0.498664,0.499957,0.500968,0.500970,-0.000020
1.180000,0.000000,1.279604,-0.010943,-0.010943,-0.012789,-0.012761,-0.208416,-0.208435,10.000101,9.999899,0.050000,0.050000,0.010000,0.010000,-0.000601,-0.000588,0.498401,0.498405,0.499832,0.501073,0.501070,0.000027,2.673439,0.013351,0.013351,-0.012767,-0.012783,-0.208432,-0.208419,9.999942,10.000058,0.050000,0.050000,0.020000,0.020000,0.000007,-0.000007,0.498404,0.498402,0.500205,0.501350,0.501352,-0.000015
1.190000,0.010027,1.290994,0.029016,0.029016,-0.014866,-0.014832,-0.206261,-0.206284,10.000121,9.999879,0.050000,0.050000,0.010000,0.010000,-0.000702,-0.000687,0.498142,0.498146,0.500445,0.501727,0.501724,0.000032,2.668526,0.030684,0.030684,-0.014847,-0.014851,-0.206279,-0.206265,9.999985,10.000015,0.050000,0.050000,0.020000,0.020000,0.000008,-0.000008,0.498144,0.498144,0.500471,0.501745,0.501745,-0.000004
1.200000,0.019895,1.303092,-0.019836,-0.019836,-0.016914,-0.016884,-0.203819,-0.203846,10.000108,9.999892,0.050000,0.050000,0.010000,0.010000,-0.000804,-0.000787,0.497886,0.497889,0.499696,0.501358,0.501355,0.000028,2.665927,0.041032,0.041032,-0.016906,-0.016893,-0.203839,-0.203826,10.000042,9.999958,0.050000,0.050000,0.020000,0.020000,0.000008,-0.000008,0.497887,0.497888,0.500629,0.502057,0.502056,0.000012
1.210000,0.029450,1.318608,0.005245,0.005245,-0.018940,-0.018909,-0.201086,-0.201118,10.000111,9.999889,0.050000,0.050000,0.010000,0.010000,-0.000907,-0.000889,0.497633,0.497636,0.500080,0.501836,0.501833,0.000029,2.664104,0.037932,0.037932,-0.018938,-0.018910,-0.201107,-0.201097,10.000095,9.999905,0.050000,0.050000,0.020000,0.020000,0.000008,-0.000008,0.497633,0.497636,0.500582,0.502212,0.502209,0.000026
1.220000,0.038540,1.323176,-0.053048,-0.053048,-0.020930,-0.020911,-0.198061,-0.198097,10.000074,9.999926,0.050000,0.050000,0.010000,0.010000,-0.001011,-0.000994,0.497384,0.497386,0.499186,0.501352,0.501350,0.000018,2.654549,0.031686,0.031686,-0.020941,-0.020900,-0.198081,-0.198077,10.000139,9.999861,0.050000,0.050000,0.020000,0.020000,0.000008,-0.000008,0.497382,0.497388,0.500486,0.502328,0.502324,0.000038
