t,I,pos2,vel2,F2,v2e,v2f,y2e,y2f,ss2e,ss2f,Af2e,Af2f,eps2e,eps2f,phi2e,phi2f,PF2E,PF2F,SN2,MN2E,MN2F,s2,pos3,vel3,F3,v3e,v3f,y3e,y3f,ss3e,ss3f,Af3e,Af3f,eps3e,eps3f,phi3e,phi3f,PF3E,PF3F,SN3,MN3E,MN3F,s3
1.130000,-0.047023,1.226221,0.121713,1.217127,-0.003374,-0.000940,-0.215237,-0.215345,10.008521,9.991482,0.050000,0.050000,0.100000,0.100000,-0.000156,-0.000043,0.499578,0.499883,0.501867,0.501716,0.501488,0.002282,2.698995,-0.055242,-0.552416,-0.001604,-0.002709,-0.215316,-0.215267,9.996133,10.003867,0.050000,0.050000,0.100000,0.100000,0.000082,-0.000082,0.499799,0.499661,0.499153,0.499515,0.499619,-0.001036
1.140000,-0.038540,1.237867,-0.039816,-0.398159,-0.005123,-0.003487,-0.214231,-0.214537,10.005734,9.994268,0.050000,0.050000,0.100000,0.100000,-0.000318,-0.000080,0.499360,0.499564,0.499389,0.500022,0.499869,0.001533,2.692343,-0.009680,-0.096798,-0.003657,-0.004954,-0.214470,-0.214304,9.995456,10.004545,0.050000,0.050000,0.100000,0.100000,0.000149,-0.000149,0.499543,0.499381,0.499852,0.500231,0.500353,-0.001216
1.150000,-0.029450,1.248065,-0.008535,-0.085354,-0.007174,-0.005713,-0.213026,-0.213497,10.005136,9.994865,0.050000,0.050000,0.100000,0.100000,-0.000480,-0.000115,0.499103,0.499286,0.499869,0.500574,0.500437,0.001370,2.689903,0.003886,0.038862,-0.005835,-0.007052,-0.213415,-0.213114,9.995728,10.004273,0.050000,0.050000,0.100000,0.100000,0.000211,-0.000211,0.499271,0.499118,0.500060,0.500592,0.500706,-0.001141
1.160000,-0.019895,1.259564,-0.011230,-0.112295,-0.009185,-0.007954,-0.211591,-0.212218,10.004351,9.995651,0.050000,0.050000,0.100000,0.100000,-0.000635,-0.000157,0.498852,0.499006,0.499828,0.500732,0.500617,0.001154,2.688159,0.001359,0.013590,-0.007977,-0.009163,-0.212128,-0.211687,9.995823,10.004178,0.050000,0.050000,0.100000,0.100000,0.000266,-0.000266,0.499003,0.498855,0.500021,0.500763,0.500875,-0.001112
1.170000,-0.010027,1.270239,0.013375,0.133753,-0.011426,-0.009935,-0.209896,-0.210693,10.005286,9.994715,0.050000,0.050000,0.100000,0.100000,-0.000796,-0.000194,0.498572,0.498758,0.500205,0.501225,0.501085,0.001398,2.681728,-0.001788,-0.017881,-0.010072,-0.011289,-0.210593,-0.210002,9.995698,10.004303,0.050000,0.050000,0.100000,0.100000,0.000329,-0.000329,0.498741,0.498589,0.499973,0.500924,0.501038,-0.001141
1.180000,0.000000,1.280941,0.011611,0.116110,-0.013632,-0.011917,-0.207913,-0.208922,10.006098,9.993904,0.050000,0.050000,0.100000,0.100000,-0.000964,-0.000225,0.498296,0.498510,0.500178,0.501412,0.501251,0.001607,2.675089,0.012374,0.123739,-0.012293,-0.013256,-0.208789,-0.208054,9.996563,10.003438,0.050000,0.050000,0.100000,0.100000,0.000392,-0.000392,0.498463,0.498343,0.500190,0.501295,0.501385,-0.000903
1.190000,0.010027,1.292302,0.026751,0.267506,-0.015967,-0.013729,-0.205620,-0.206905,10.007966,9.992036,0.050000,0.050000,0.100000,0.100000,-0.001140,-0.000249,0.498004,0.498284,0.500410,0.501805,0.501595,0.002098,2.670571,0.028777,0.287771,-0.014659,-0.015038,-0.206681,-0.205855,9.998573,10.001428,0.050000,0.050000,0.100000,0.100000,0.000455,-0.000454,0.498168,0.498120,0.500441,0.501705,0.501741,-0.000356
1.200000,0.019895,1.304352,-0.021601,-0.216007,-0.017795,-0.016003,-0.203033,-0.204609,10.006459,9.993543,0.050000,0.050000,0.100000,0.100000,-0.001294,-0.000297,0.497776,0.498000,0.499669,0.501420,0.501252,0.001680,2.667618,0.037074,0.370741,-0.017084,-0.016714,-0.204239,-0.203417,10.001160,9.998841,0.050000,0.050000,0.100000,0.100000,0.000490,-0.000489,0.497864,0.497911,0.500569,0.502028,0.501993,0.000347
1.210000,0.029450,1.316632,-0.032544,-0.325441,-0.019486,-0.018362,-0.200196,-0.201985,10.004190,9.995813,0.050000,0.050000,0.100000,0.100000,-0.001416,-0.000381,0.497564,0.497705,0.499501,0.501452,0.501347,0.001054,2.665299,0.036430,0.364304,-0.019477,-0.018371,-0.201449,-0.200746,10.003700,9.996300,0.050000,0.050000,0.100000,0.100000,0.000491,-0.000490,0.497565,0.497704,0.500559,0.502245,0.502141,0.001038
1.220000,0.038540,1.324940,-0.002956,-0.029564,-0.021443,-0.020397,-0.197093,-0.199041,10.003984,9.996018,0.050000,0.050000,0.100000,0.100000,-0.001522,-0.000485,0.497320,0.497450,0.499955,0.501976,0.501878,0.000981,2.658221,0.032425,0.324249,-0.021801,-0.020039,-0.198310,-0.197837,10.005959,9.994042,0.050000,0.050000,0.100000,0.100000,0.000475,-0.000474,0.497275,0.497495,0.500497,0.502417,0.502252,0.001651
